"Дата 
операції","Час 
операції","Сума в валюті 
рахунку","Сума в валюті 
операції",Валюта операції,"Залишок після 
операції в валюті 
рахунку"
24.09.2021,15:10:29,-1320,-1320,UAH,100500
24.09.2021,15:10:07,-1571.5,-1571.5,UAH,100500
24.09.2021,14:34:20,100500,100500,UAH,100500
25.08.2021,18:47:12,100500,-15000,UAH,0
25.08.2021,16:24:52,-1714.28,-1714.28,UAH,100500
25.08.2021,16:04:09,100500,13792.28,UAH,100500
25.08.2021,15:18:51,-1320,-1320,UAH,2922
25.08.2021,15:18:12,-758,-758,UAH,4242
